iter	Logloss
0	0.6590849078
1	0.6312991561
2	0.6062945962
3	0.5828795183
4	0.561923561
5	0.5444788782
6	0.5272729144
7	0.5125777052
8	0.4998784163
9	0.4871116457
10	0.4758593045
11	0.4666346889
12	0.4578356435
13	0.4488763268
14	0.4413390092
15	0.4345673109
16	0.4279487896
17	0.4218401988
18	0.4167875758
19	0.4127419479
20	0.4074819429
21	0.4029308926
22	0.3989907887
23	0.3956664078
24	0.3917033171
25	0.3890431872
26	0.3858861286
27	0.383666775
28	0.3808910165
29	0.3782805299
30	0.3762659848
31	0.3738922738
32	0.3717919373
33	0.3697603647
34	0.3678227568
35	0.3657699223
36	0.3641118194
37	0.3625708361
38	0.3611042681
39	0.3599090659
40	0.3584976602
41	0.3576789308
42	0.3565159921
43	0.3551437594
44	0.3538643393
45	0.3526695781
46	0.351433072
47	0.3503189734
48	0.3494426767
49	0.3487575889
50	0.3479364266
51	0.347265721
52	0.3463567582
53	0.3454826097
54	0.3447694268
55	0.3444205943
56	0.3439026821
57	0.3435644109
58	0.3428628184
59	0.3424082674
60	0.3421474491
61	0.3415655563
62	0.3412484353
63	0.3406796712
64	0.3404166003
65	0.3400246967
66	0.3397107777
67	0.3394346427
68	0.3391336723
69	0.3388864732
70	0.3385754484
71	0.3381705342
72	0.3379605238
73	0.3376475022
74	0.3374764265
75	0.3372496609
76	0.3369613082
77	0.3366367959
78	0.3364460723
79	0.3362467572
80	0.3360630412
81	0.3358528506
82	0.3356241691
83	0.3354255321
84	0.3352513619
85	0.3350812462
86	0.3349122298
87	0.3345411757
88	0.33438406
89	0.3341436533
90	0.3338965076
91	0.3337171103
92	0.33357535
93	0.3334003396
94	0.3332088571
95	0.3330171186
96	0.3328604087
97	0.3327227269
98	0.3324356272
99	0.3322093153
100	0.3321013629
101	0.3319347268
102	0.3318089646
103	0.3317178411
104	0.3315858444
105	0.3314395039
106	0.3312584598
107	0.331099046
108	0.3309521016
109	0.3308143343
110	0.3306288796
111	0.3304698843
112	0.3302924444
113	0.3301138902
114	0.3299557559
115	0.3297847771
116	0.3296541313
117	0.3295121476
118	0.3294013926
119	0.329242252
120	0.3291596701
121	0.3290790618
122	0.328912284
123	0.3288896693
124	0.3287620883
125	0.3285858382
126	0.3284571596
127	0.3283262151
128	0.328167132
129	0.3280301021
130	0.3279217148
131	0.3278012037
132	0.3276437487
133	0.3275254274
134	0.3273862089
135	0.3272533568
136	0.3270967551
137	0.3269775104
138	0.3268475261
139	0.3267169813
140	0.3265795101
141	0.3264565261
142	0.3263112403
143	0.3261770706
144	0.3259997443
145	0.3258573478
146	0.3257074973
147	0.3255831885
148	0.3254593252
149	0.325390285
150	0.3252892686
151	0.3251379748
152	0.3249899801
153	0.3248640677
154	0.3247329421
155	0.3246517146
156	0.3244896173
157	0.3243263995
158	0.324199085
159	0.3240669136
